paper,query,label,expect,page,expect_rows,expect_cols,expect_matched_on,expect_confidence,expect_stitch,basis,why
s00280_011_1618_8,response,Table 1,miss,5,,,,,,整页文字层无该词 ⇒ 表内一定没有,
s00280_011_1618_8,PDX;xenograft,Table 1,?,5,,,,,,整页有该词但分不清在表内还是正文,
s00280_011_1618_8,response,Table 2,hit,6,,,cell,,same_columns?,表头串「Response activity」,p7 是 `Table 2 continued`（无括号），判据一必不中
s00280_011_1618_8,PDX;xenograft,Table 2,miss,6,,,,,same_columns?,整页文字层无该词 ⇒ 表内一定没有,p7 是 `Table 2 continued`（无括号），判据一必不中
s00280_011_1618_8,response,Table 2,hit,7,,,cell,,,表头串「Response activity」,
s00280_011_1618_8,PDX;xenograft,Table 2,?,7,,,,,,整页有该词但分不清在表内还是正文,
0008_5472_can_16_0122,response,Table 1,hit,2,,,caption,,same_columns?,caption 命中（工具 matcher）,p3 是 `Table 1 …(Cont'd )`，判据一必不中
0008_5472_can_16_0122,PDX;xenograft,Table 1,miss,2,,,,,same_columns?,整页文字层无该词 ⇒ 表内一定没有,p3 是 `Table 1 …(Cont'd )`，判据一必不中
0008_5472_can_16_0122,response,Table 1,hit,3,,,caption,,,caption 命中（工具 matcher）,
0008_5472_can_16_0122,PDX;xenograft,Table 1,?,3,,,,,,整页有该词但分不清在表内还是正文,
0008_5472_can_16_0122,response,Table 2,?,5,,,,,,整页有该词但分不清在表内还是正文,
0008_5472_can_16_0122,PDX;xenograft,Table 2,?,5,,,,,,整页有该词但分不清在表内还是正文,
0008_5472_can_16_0122,response,Table 3,hit,8,,,caption,,,caption 命中（工具 matcher）,
0008_5472_can_16_0122,PDX;xenograft,Table 3,miss,8,,,,,,整页文字层无该词 ⇒ 表内一定没有,
1078_0432_ccr_18_2675,response,Table 1,?,4,,,,,,整页有该词但分不清在表内还是正文,
1078_0432_ccr_18_2675,PDX;xenograft,Table 1,?,4,,,,,,整页有该词但分不清在表内还是正文,
1078_0432_ccr_18_2675,response,Table 2,?,5,,,,,,整页有该词但分不清在表内还是正文,
1078_0432_ccr_18_2675,PDX;xenograft,Table 2,miss,5,,,,,,整页文字层无该词 ⇒ 表内一定没有,
1078_0432_ccr_18_2675,response,Table 3,hit,6,,,caption,,,caption 命中（工具 matcher）,
1078_0432_ccr_18_2675,PDX;xenograft,Table 3,?,6,,,,,,整页有该词但分不清在表内还是正文,
1078_0432_ccr_18_2675,response,Table 4,hit,6,,,cell,,,表头串「Responder」,
1078_0432_ccr_18_2675,PDX;xenograft,Table 4,?,6,,,,,,整页有该词但分不清在表内还是正文,
1078_0432_ccr_18_2675,response,Table 5,hit,6,,,cell,,,表头串「Responder」,
1078_0432_ccr_18_2675,PDX;xenograft,Table 5,?,6,,,,,,整页有该词但分不清在表内还是正文,
1078_0432_ccr_18_2675,response,Table 6,?,7,,,,,,整页有该词但分不清在表内还是正文,
1078_0432_ccr_18_2675,PDX;xenograft,Table 6,?,7,,,,,,整页有该词但分不清在表内还是正文,
1078_0432_ccr_18_2675,response,Table 7,hit,7,,,caption,,,caption 命中（工具 matcher）,
1078_0432_ccr_18_2675,PDX;xenograft,Table 7,hit,7,,,caption,,,caption 命中（工具 matcher）,
blood_2016_03_707414,response,Table 1,hit,2,,,caption,,,caption 命中（工具 matcher）,
blood_2016_03_707414,PDX;xenograft,Table 1,hit,2,,,caption,,,caption 命中（工具 matcher）,
pbc_22921,response,TABLE I,?,3,,,,,,整页有该词但分不清在表内还是正文,
pbc_22921,PDX;xenograft,TABLE I,?,3,,,,,,整页有该词但分不清在表内还是正文,
pbc_22921,response,TABLE II,hit,5,,,cell,,,表头串「Response activity」,
pbc_22921,PDX;xenograft,TABLE II,hit,5,,,cell,,,表头串「Xenograft line」,
pbc_22921,response,TABLE III,hit,8,,,caption,,,caption 命中（工具 matcher）,
pbc_22921,PDX;xenograft,TABLE III,hit,8,,,cell,,,表头串「Xenograft line」,
pbc_22921,response,TABLE IV,?,9,,,,,,整页有该词但分不清在表内还是正文,
pbc_22921,PDX;xenograft,TABLE IV,?,9,,,,,,整页有该词但分不清在表内还是正文,
j_pharmthera_2024_108742,response,Table 1,hit,60,,,caption,,,caption 命中（工具 matcher）,
j_pharmthera_2024_108742,PDX;xenograft,Table 1,miss,60,,,,,,整页文字层无该词 ⇒ 表内一定没有,
j_pharmthera_2024_108742,response,Table 2,hit,61,,,cell,,,表头串「Objective Response」,
j_pharmthera_2024_108742,PDX;xenograft,Table 2,miss,61,,,,,,整页文字层无该词 ⇒ 表内一定没有,
j_pharmthera_2024_108742,response,Table 3,hit,62,,,cell,,,表头串「Objective Response」,
j_pharmthera_2024_108742,PDX;xenograft,Table 3,miss,62,,,,,,整页文字层无该词 ⇒ 表内一定没有,
j_pharmthera_2024_108742,response,Table 4,hit,63,,,cell,,,表头串「Objective Response」,
j_pharmthera_2024_108742,PDX;xenograft,Table 4,miss,63,,,,,,整页文字层无该词 ⇒ 表内一定没有,
j_pharmthera_2024_108742,response,Table 5,hit,64,,,cell,,,表头串「Objective response rate」,
j_pharmthera_2024_108742,PDX;xenograft,Table 5,miss,64,,,,,,整页文字层无该词 ⇒ 表内一定没有,
j_pharmthera_2024_108742,response,Table 6,?,65,,,,,,整页有该词但分不清在表内还是正文,
j_pharmthera_2024_108742,PDX;xenograft,Table 6,miss,65,,,,,,整页文字层无该词 ⇒ 表内一定没有,
j_pharmthera_2024_108742,response,Table 7,hit,66,,,cell,,,表头串「Objective response rate」,
j_pharmthera_2024_108742,PDX;xenograft,Table 7,miss,66,,,,,,整页文字层无该词 ⇒ 表内一定没有,
j_pharmthera_2024_108742,response,Table 8,hit,67,,,caption,,,caption 命中（工具 matcher）,
j_pharmthera_2024_108742,PDX;xenograft,Table 8,miss,67,,,,,,整页文字层无该词 ⇒ 表内一定没有,
j_pharmthera_2024_108742,response,Table 9,miss,68,,,,,,整页文字层无该词 ⇒ 表内一定没有,
j_pharmthera_2024_108742,PDX;xenograft,Table 9,?,68,,,,,,整页有该词但分不清在表内还是正文,
